,title,sort,date,genre,genre.2,genre.3,int.ext.ratio,int.ext.weighted,int.percent,int.weight.ratio
134,Breakdown, 177,1997,fantasy,drama,crime,0.7586206897,0.4668026215,0.431372549,0.6153307284
135,Brick, 180,2005,fantasy,drama,crime,0.6266666667,0.3401822944,0.3852459016,0.5428440869
136,Bridesmaids, 181,2011,comedy,drama,,2.9230769231,1.381099372,0.7450980392,0.4724813641
137,Bringing-Out-the-Dead, 182,1999,drama,action,,0.9210526316,0.4785424572,0.4794520548,0.519560382
138,Broken-Arrow, 183,1996,action,adventure,comedy,1.1686746988,0.6312173416,0.5388888889,0.5401138077
139,Broken-Embraces, 184,2009,drama,drama,action,2.24,1.4346672304,0.6913580247,0.6404764421
140,"Brothers-Bloom,-The", 185,2008,comedy,comedy,drama,0.7874015748,0.4504253309,0.4405286344,0.5720401702
141,Bruce-Almighty, 186,2003,fantasy,drama,comedy,1.4782608696,0.8611211861,0.5964912281,0.5825231553
142,Bull-Durham, 187,1988,comedy,drama,sport,1,0.5813327954,0.5,0.5813327954
143,Burlesque, 189,2010,drama,music,drama,3.1081081081,1.9414626031,0.7565789474,0.6246444897
144,Burn-After-Reading, 190,2008,comedy,crime,drama,3.7419354839,2.2053235107,0.7891156463,0.5893536968
145,Burning-Annie, 191,2004,comedy,drama,drama,3.4285714286,2.1232083531,0.7741935484,0.619269103
146,"Butterfly-Effect,-The", 192,2004,sci-fi,action,,1.7424242424,0.9462598686,0.635359116,0.5430708811
147,Cable-Guy, 193,1996,comedy,drama,action,3.1904761905,1.8449163449,0.7613636364,0.5782573618
148,Candle-to-Water, 194,2012,drama,,,4.5909090909,3.0449888189,0.8211382114,0.6632648912
149,Capote, 195,2005,drama,crime,drama,3,1.9489849159,0.75,0.6496616386
150,Carrie, 196,2013,drama,horror,,2.5,1.4784467102,0.7142857143,0.5913786841
151,Cars-2, 197,2011,comedy,adventure,comedy,0.6323529412,0.3314655532,0.3873873874,0.5241780841
152,Case-39, 198,2009,horror,fantasy,action,4.3,2.7274083473,0.8113207547,0.634281011
153,Casino, 199,1995,drama,crime,drama,2.2189781022,1.4412135198,0.6893424036,0.6494942507
154,Cast-Away, 200,2000,drama,drama,,0.3971962617,0.2518105625,0.2842809365,0.6339701221
155,Catch-Me-If-You-Can, 201,2002,drama,crime,drama,3.1509433962,1.9144860377,0.7590909091,0.6075913772
156,Catwoman, 202,2004,action,,,1.4375,0.9116058961,0.5897435897,0.6341606234
157,Cedar-Rapids, 204,2011,comedy,,,5.1666666667,2.9581164221,0.8378378378,0.5725386624
158,Celeste-&-Jesse-Forever, 205,2012,comedy,drama,drama,2.0588235294,1.11547292,0.6730769231,0.5418011326
159,"Cell,-The", 206,2000,horror,sci-fi,action,3.8695652174,2.9626434969,0.7946428571,0.7656269711
160,Cellular, 207,2004,action,crime,drama,1.2236842105,0.6843234234,0.550295858,0.5592320449
161,"Change-Up,-The", 208,2011,comedy,,,2.9565217391,1.8114342318,0.7472527473,0.6126909902
162,Changeling, 209,2008,fantasy,history,drama,2.2807017544,1.3979604439,0.6951871658,0.6129518869
163,Chaos, 210,2005,action,crime,drama,1.4696969697,0.8468513588,0.5950920245,0.576208141
164,Charlie's-Angels, 212,2000,action,adventure,comedy,1.4166666667,0.8499919299,0.5862068966,0.5999943035
165,Chasing-Sleep, 214,2000,horror,fantasy,action,38.6666666667,18.0006262581,0.974789916,0.4655334377
166,Cherry-Falls, 215,2000,fantasy,horror,comedy,1.3658536585,0.8052221898,0.5773195876,0.5895376747
167,Christ-Complex, 217,2012,comedy,fantasy,,1.6875,0.5993145095,0.6279069767,0.355149339
168,Chronicle, 218,2012,sci-fi,drama,action,1.1388888889,0.5037453581,0.5324675325,0.4423129973
169,"Cider-House-Rules,-The", 220,1999,drama,drama,,1.3289473684,0.6778648442,0.5706214689,0.5100765164
170,Cinema-Paradiso, 222,1988,drama,,,1.3611111111,0.7188357304,0.5764705882,0.5281242101
171,Cirque-du-Freak-The-Vampire's-Assistant, 223,2009,fantasy,adventure,action,1.2307692308,0.7340696686,0.5517241379,0.5964316058
172,City-of-Joy, 225,1992,drama,,,0.6632653061,0.3669296694,0.3987730061,0.5532170401
173,Clash-of-the-Titans, 226,2010,fantasy,adventure,action,0.3942307692,0.2427049866,0.2827586207,0.6156419172
174,Cliffhanger, 228,1993,action,adventure,action,0.5076923077,0.2268519446,0.3367346939,0.4468295878
175,Cobb, 229,1994,drama,drama,sport,1.0508474576,0.7737292566,0.5123966942,0.7362907442
176,Cold-Mountain, 231,2003,drama,history,drama,0.4814814815,0.2174318967,0.325,0.4515893239
177,Collateral, 233,2004,crime,drama,action,2.3469387755,1.3018481446,0.7012195122,0.5547005138
178,Collateral-Damage, 232,2002,action,drama,action,0.9,0.4671655241,0.4736842105,0.5190728045
179,Colombiana, 234,2011,action,crime,drama,2.5063291139,1.4205287393,0.714801444,0.5667766182
180,Conan-the-Barbarian, 237,2011,action,adventure,fantasy,0.62,0.371726528,0.3827160494,0.5995589162
181,Confessions-of-a-Dangerous-Mind, 238,2002,drama,comedy,crime,2.4754098361,1.5621529896,0.7122641509,0.6310684263
182,Confidence, 239,2003,crime,action,,1.8979591837,1.1745590133,0.6549295775,0.6188536737
183,Constantine, 240,2005,fantasy,drama,horror,1.98,1.1888256909,0.6644295302,0.6004170156
184,"Cooler,-The", 241,2003,drama,drama,,4.875,3.6639320205,0.829787234,0.7515757991
185,Coraline, 242,2009,fantasy,,,3.9047619048,1.3843249523,0.7961165049,0.3545222439
186,Coriolanus, 243,2011,drama,action,war,1.9230769231,1.0099532505,0.6578947368,0.5251756903
187,Cowboys-&-Aliens, 244,2011,sci-fi,drama,action,1.0576923077,0.4837286892,0.5140186916,0.457343488
188,Cradle-2-the-Grave, 245,2003,action,crime,drama,3.6470588235,1.8628754124,0.7848101266,0.5107884195
189,Crank, 246,2006,action,crime,action,1.0833333333,0.484501845,0.52,0.4472324723
190,Crash, 247,2004,drama,,,1,0.5802815543,0.5,0.5802815543
191,"Crazy,-Stupid,-Love", 248,2011,comedy,drama,drama,2.9523809524,1.3669175006,0.7469879518,0.4629881857
192,Crazylove, 249,2007,drama,,,3.875,2.1960461285,0.7948717949,0.5667215815
193,Creation, 250,2009,drama,drama,,2.08,0.9249293077,0.6753246753,0.4446775518
194,Crime-Spree, 251,2003,action,comedy,crime,1.4137931034,0.9426707091,0.5857142857,0.6667670869
195,"Croods,-The", 252,2013,comedy,adventure,comedy,0.2941176471,0.077867625,0.2272727273,0.2647499251
196,"Crouching-Tiger,-Hidden-Dragon", 253,2000,action,drama,drama,0.6885245902,0.4662952579,0.4077669903,0.6772383508
