"title","X","sort","date","genre","genre.2","Genre.3","pilot","X1x01","int.ext.ratio","int.ext.weighted","int.percent","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"54","Beauty_and_the_Beast_1x06_-_The_Beast_Within","  54","  66","1987","drama","horror","","n","n"," 1.4347826","2.418424e+00","0.5892857",1,0.57,0.71,0.43,0.64,1,0,0,0.4,0.38,0.8,0,1,1,0.6,0.62,0.2,1
"55","Beauty_and_the_Beast_1x07_-_Nor_Iron_Bars_a_Cage","  55","  67","1987","drama","horror","","n","n"," 2.4545455","4.066298e+00","0.7105263",0,0.6,0.7,0.8,0.75,1,0,0.14,0.33,0.44,0.14,0,1,0.86,0.67,0.56,0.86,1
"56","Beauty_and_the_Beast_1x08_-_Song_of_Orpheus","  56","  68","1987","drama","horror","","n","n"," 2.9285714","7.926940e+00","0.7454545",1,0.57,0.73,0.79,0.85,1,0,0.29,0.5,0.38,0.6,1,1,0.71,0.5,0.62,0.4,0
"57","Beauty_and_the_Beast_1x09_-_Dark_Spirit","  57","  69","1988","drama","horror","","n","n"," 3.6428571","4.347518e+00","0.7846154",1,0.76,0.76,0.76,0.86,1,1,0.27,0.75,0.57,0.83,0,0,0.73,0.25,0.43,0.17,1
"58","Beauty_and_the_Beast_1x10_-_A_Childrens'_Story","  58","  70","1988","drama","horror","","n","n"," 2.5555556","6.232446e+00","0.7187500",0,0.75,0.81,0.69,0.62,1,0,0.4,0.4,0.2,0.86,1,0,0.6,0.6,0.8,0.14,0
"59","Beauty_and_the_Beast_1x11_-_An_Impossible_Silence","  59","  71","1989","drama","horror","","n","n"," 3.5454545","7.507508e+00","0.7800000",0,0.69,0.85,0.92,0.64,1,0,0.5,0.86,0.5,0.83,0,0,0.5,0.14,0.5,0.17,1
"60","Beauty_and_the_Beast_1x11_-_The_Rest_is_Silence","  60","  60","1989","drama","horror","","n","n"," 2.8888889","7.271400e+00","0.7428571",0,0.45,0.82,0.73,0.82,1,0,0.67,0.6,0.44,0.75,0,0,0.33,0.4,0.56,0.25,1
"61","Beauty_and_the_Beast_1x12_-_Shades_of_Grey","  61","  72","1989","drama","horror","","n","n","23.0000000","7.220769e+01","0.9583333",1,0.78,1,0.86,1,1,1,0,1,0.5,1,0,0,1,0,0.5,0,0
"62","Beauty_and_the_Beast_1x20_-_To_Reign_In_Hell","  62","  74","1989","drama","horror","","n","n","29.0000000","9.044898e+01","0.9666667",1,0.88,0.89,1,1,1,1,0.83,1,0,0.75,1,0,0.17,0,1,0.25,0
"63","Beauty_and_the_Beast_2x04_-_Dead_of_Winter","  63","  75","1989","drama","horror","","n","n","15.0000000","2.720822e+01","0.9375000",0,0.8,1,1,0.75,1,0,1,0,1,0.5,1,0,0,1,0,0.5,1
"64","Beauty_and_the_Beast_2x07_-_A_Fair_and_Perfect_Knight","  64","  64","2013","drama","horror","","n","n"," 2.7777778","4.278867e+00","0.7352941",1,0.67,0.78,0.67,0.86,0,1,0.8,0.88,0.67,1,0,0,0.2,0.12,0.33,0,0
"65","Beauty_and_the_Beast_2x13_-_Arabesque","  65","  76","2014","drama","horror","","n","n"," 1.1000000","2.128954e+00","0.5238095",0,0.79,0.57,0.79,0.45,0,0,0.62,0.29,0.5,0.75,1,0,0.38,0.71,0.5,0.25,1
"66","Beauty_and_the_Beast_2x14_-_When_the_Blue_Bird_Sings","  66","  77","2012","drama","horror","","n","n"," 3.0000000","4.443793e+00","0.7500000",0,0.67,0.67,0.86,0.57,0,1,0.33,0.57,0.33,0.43,0,0,0.67,0.43,0.67,0.57,0
"67","Beauty_and_the_Beast_2x15_-_The_Watcher","  67","  78","2014","drama","horror","","n","n"," 1.9200000","2.735570e+00","0.6575342",1,0.74,0.89,0.63,0.31,1,1,0.6,1,0.5,1,1,0,0.4,0,0.5,0,0
"68","Beauty_and_the_Beast_2x21_-_Ceremony_of_Innocence","  68","  68","2012","drama","horror","","n","n","32.0000000","2.648000e+03","0.9696970",1,1,1,1,1,1,1,0.6,0.67,0.67,0.57,0,0,0.4,0.33,0.33,0.43,0
"69","Being_Human_1x01_-_Pilot","  69","  79","2012","drama","horror","fantasy","y","y"," 1.8571429","4.259475e+00","0.6500000",1,0.65,0.45,0.85,0.65,1,1,0.57,0.6,0.58,0.33,1,0,0.43,0.4,0.42,0.67,0
"70","Being_Mary_Jane_1x01_-_Pilot","  70","  80","2013","drama","","","y","y"," 6.6000000","7.848029e+00","0.8684211",1,0.84,0.84,0.81,0.81,1,1,1,0.6,0.62,0.67,1,0,0,0.4,0.38,0.33,0
"71","Believe_1x01_-_Pilot","  71","  81","2013","fantasy","sci-fi","drama","y","y"," 2.9000000","6.355789e+00","0.7435897",1,0.8,0.75,0.75,0.67,0,0,0.08,0,0.4,0.44,0,0,0.92,1,0.6,0.56,0
