"title","X","sort","date","genre","genre.2","genre.3","int.ext.ratio","int.ext.weighted","int.percent","int.weight.ratio","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"57","Antitrust"," 57","  76","2001","crime","drama","action"," 3.45454545"," 1.77973030","0.77551020","0.5151851",0,0.63,0.78,0.78,0.81,1,0,0.37,0.23,0.4,0.57,0,0,0.63,0.77,0.6,0.43,1
"58","Antz"," 58","  77","1998","comedy","adventure","comedy"," 1.66666667"," 0.85152930","0.62500000","0.5109176",0,0.73,0.5,0.43,0.79,1,0,0.4,1,NA,NA,0,0,0.6,0,NA,NA,0
"59","Apt-Pupil"," 59","  80","1998","drama","action",""," 4.50000000"," 1.55542312","0.81818182","0.3456496",1,0.67,1,0.67,1,1,0,0.5,0.67,1,1,1,0,0.5,0.33,0,0,0
"60","Arbitrage"," 60","  81","2012","drama","action",""," 2.54838710"," 1.67506691","0.71818182","0.6573047",1,0.69,0.64,0.68,0.79,1,1,0.57,0.53,0.32,0.65,1,0,0.43,0.47,0.68,0.35,0
"61","Arcade"," 61","  82","1993","horror","sci-fi",""," 1.12500000"," 0.71925092","0.52941176","0.6393342",1,0.76,0.41,0.47,0.47,0,0,0.5,0.5,0,NA,0,0,0.5,0.5,1,NA,0
"62","Arctic-Blue"," 62","  83","1993","action","action",""," 0.85365854"," 0.45556936","0.46052632","0.5336670",0,0.47,0.43,0.53,0.41,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"63","Argo"," 63","  84","2012","drama","history","action"," 3.72580645"," 2.30329281","0.78839590","0.6181998",0,0.79,0.75,0.8,0.71,1,0,0.29,0.37,0.23,0.12,1,1,0.71,0.63,0.77,0.88,0
"64","Armageddon"," 64","  85","1998","sci-fi","adventure","action"," 1.96296296"," 0.87987115","0.66250000","0.4482362",0,0.68,0.76,0.68,0.54,0,0,0.14,0.06,0.04,0,0,1,0.86,0.94,0.96,1,0
"65","Army-of-Darkness"," 65","  86","1992","fantasy","comedy","horror"," 0.64814815"," 0.42428168","0.39325843","0.6546060",0,0.35,0.48,0.22,0.55,1,0,0,NA,0.12,0.5,0,0,1,NA,0.88,0.5,0
"66","Arthur"," 66","  88","2011","comedy","drama",""," 2.14634146"," 1.07452590","0.68217054","0.5006314",0,0.64,0.76,0.71,0.62,0,0,0.72,0.7,0.7,0.26,0,0,0.28,0.3,0.3,0.74,0
"67","Artist,-The"," 67","  89","2011","comedy","drama","drama"," 2.40000000"," 1.34622824","0.70588235","0.5609284",1,0.73,0.8,0.57,0.72,1,0,0.32,0.37,0.62,0.64,0,1,0.68,0.63,0.38,0.36,1
